Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
BT1,Battery_Cell,2450,40.640000,-135.890000,0.000000,bottom
J1,eink,FPC_24,57.150000,-135.890000,270.000000,bottom
C1,4.7uF,C_1206_3216Metric,48.260000,-124.965000,90.000000,top
C2,10uF,C_0805_2012Metric,38.021500,-120.142000,0.000000,top
C3,10uF,C_0805_2012Metric,37.465000,-131.445000,0.000000,top
C4,4.7uF,C_1206_3216Metric,48.260000,-138.685000,90.000000,top
C5,1uF,C_0603_1608Metric,38.100000,-128.905000,0.000000,top
C6,1uF,C_0603_1608Metric,52.705000,-144.800000,270.000000,top
C7,1uF,C_0603_1608Metric,38.887500,-135.255000,0.000000,top
C8,1uF,C_0603_1608Metric,61.747500,-134.892142,180.000000,top
C9,1uF,C_0603_1608Metric,61.747500,-132.896428,180.000000,top
C10,1uF,C_0603_1608Metric,61.747500,-140.879284,180.000000,top
C11,1uF,C_0603_1608Metric,61.747500,-128.905000,180.000000,top
C12,1uF,C_0603_1608Metric,61.747500,-136.887856,180.000000,top
C13,1uF,C_0603_1608Metric,61.747500,-138.883570,180.000000,top
C14,1uF,C_0603_1608Metric,61.747500,-130.900714,180.000000,top
C15,1uF,C_0603_1608Metric,61.747500,-142.875000,180.000000,top
C16,1uF,C_0603_1608Metric,61.747500,-144.805400,180.000000,top
C17,10uF,C_0805_2012Metric,35.560000,-137.795000,0.000000,top
C18,100nF,C_0402_1005Metric,35.075000,-135.255000,0.000000,top
C19,100nF,C_0402_1005Metric,35.242500,-151.915000,270.000000,top
C20,100nF,C_0402_1005Metric,30.330000,-147.320000,180.000000,top
C21,1uF,C_0603_1608Metric,30.327500,-144.780000,180.000000,top
D1,GREEN,D_0603_1608Metric,26.416000,-121.767500,270.000000,top
D2,RED,D_0603_1608Metric,26.416000,-130.657500,90.000000,top
D3,MBR0530,D_SOD-123,38.100000,-123.190000,180.000000,top
D4,MBR0530,D_SOD-123,56.515000,-145.670000,90.000000,top
D5,MBR0530,D_SOD-123,48.260000,-145.670000,90.000000,top
D6,MBR0530,D_SOD-123,52.705000,-138.685000,90.000000,top
IC1,TP4056,SOP-8,31.750000,-125.095000,0.0,top
L1,10 uH,L_1210_3225Metric,48.260000,-131.950000,270.000000,top
Q1,AO3401A,SOT-23,43.815000,-124.460000,180.0,top
Q2,AO3400A,SOT-23,52.705000,-132.080000,90.0,top
R1,2k,R_0402_1005Metric,26.416000,-124.945000,270.000000,top
R2,2k,R_0402_1005Metric,26.416000,-127.450000,90.000000,top
R3,10K,R_0402_1005Metric,30.988000,-130.556000,270.000000,top
R4,10K,R_0402_1005Metric,33.528000,-130.556000,90.000000,top
R5,10K,R_0402_1005Metric,54.610000,-126.315000,90.000000,top
R6,10K,R_0402_1005Metric,37.615000,-118.110000,0.000000,top
R7, 0.47 Ohm,R_0603_1608Metric,52.070000,-125.765000,90.000000,top
R8,0 Ohm,R_0402_1005Metric,37.950000,-126.365000,0.000000,top
R9,15k,R_0402_1005Metric,39.901000,-137.541000,0.000000,top
R10,39k,R_0402_1005Metric,39.855000,-139.065000,0.000000,top
R11,0 Ohm,R_0402_1005Metric,33.655000,-151.915000,90.000000,top
R12,0 Ohm,R_0402_1005Metric,36.830000,-151.915000,90.000000,top
U1,STM32L031F6Px,TSSOP-20_4.4x6.5mm_P0.65mm,36.830000,-144.780000,0.0,top
U2,XC6206P332MR-G,SOT-23,42.545000,-131.445000,270.0,top
U3,CAT24C256,SOIC-8_3.9x4.9mm_P1.27mm,29.210000,-137.635000,270.000000,top
